Rank,Club,Country,Level,Elo,From,To
1,Barcelona,ESP,1,1975,2020-07-01,2026-06-30
2,Real Madrid,ESP,1,2005,2020-07-01,2026-06-30
3,Ath Bilbao,ESP,1,1790,2020-07-01,2026-06-30
4,Malaga,ESP,1,1450,2020-07-01,2026-06-30
5,Racing,ESP,1,1400,2020-07-01,2026-06-30
6,Mallorca,ESP,1,1680,2020-07-01,2026-06-30
7,Atletico Madrid,ESP,1,1880,2020-07-01,2026-06-30
8,Sevilla,ESP,1,1750,2020-07-01,2026-06-30
9,Valencia,ESP,1,1650,2020-07-01,2026-06-30
10,Getafe,ESP,1,1620,2020-07-01,2026-06-30
11,Alaves,ESP,1,1600,2020-07-01,2026-06-30
99,Manchester City,ENG,1,2100,2020-07-01,2026-06-30
